NAME,TEAM,GP,MPG,FGM,FGA,FTM,FTA,TPM,PTS,REB,AST,STL,BLK,TO
Jonathan Isaac,ORL,56,27.1,3.7,8.3,1.4,1.8,0.8,9.6,5.1,1.1,1.2,1.6,1.1
Jordan Clarkson,UTA,74,26.7,6.7,15.7,1.9,2.1,3.1,18.3,4,2.5,0.9,0.1,1.7
Jordan Poole,GSW,74,27.6,5.6,12.8,3,3.3,2.7,16.9,2.5,2.7,0.7,0.3,1.4
Josh Giddey,OKL,70,29.8,4.2,10.2,0.9,1.4,1.1,10.5,6.8,4.3,1.2,0.5,3
Josh Hart,NOP,67,27,3,6.8,1.4,1.8,1.2,8.6,7.5,2.2,0.8,0.3,1
Josh Richardson,BOS,68,24.8,3.8,8.8,1.4,1.5,1.3,10.2,2.8,2.2,0.8,0.3,1.1
Jrue Holiday,MIL,72,32.1,6.9,13.9,1.8,2.3,1.9,17.5,4.5,6,1.6,0.6,2.2
Juan Toscano-Anderson,GSW,68,20.1,2.3,4.3,0.4,0.6,0.7,5.8,4.5,2.8,0.8,0.5,1.2
Julius Randle,NYK,77,36.4,7.8,16.8,4.7,5.8,1.8,22.1,9.8,4.8,0.9,0.3,3.3
Justin Holiday,IND,78,27.1,3.2,7.8,0.8,1.1,2.1,9.4,3.1,1.5,0.9,0.5,0.7
Jusuf Nurkic,POR,69,29.4,6,12,2.5,3.5,0.3,14.7,10.1,3,1,1.5,2.6
Karl-Anthony Towns,MIN,72,33.9,8.5,17.6,5.3,6.2,2.4,24.8,10.6,4.5,0.8,1.3,3.2
Kawhi Leonard,LAC,10,25.1,6.4,13.5,3.6,4.3,1.4,17.8,4.7,3.7,1.2,0.3,1.7
Keldon Johnson,SAS,74,31.2,6.4,13.4,2.3,3.1,1.4,16.4,6.5,2.2,1,0.4,1.2
Kelly Olynyk,DET,73,27.2,4.2,9,2,2.3,1.7,11.9,6.4,2.7,1,0.6,1.7
Kelly Oubre Jr.,CHA,74,26.2,4.9,11.2,1.9,2.7,1.4,13.1,5.1,1.1,0.9,0.7,1.1
Kemba Walker,NYK,67,30.1,6.3,14.9,2.9,3.3,2.8,18.3,3.8,4.6,1,0.3,1.9
Kevin Durant,BRO,68,33.1,9,17,6,6.8,2.3,26.3,7.1,5,0.7,1.3,3.4
Kevin Love,CLE,30,22.2,3.6,9,1.5,1.8,2,10.8,6.6,2.2,0.5,0.1,1.3
Kevin Porter Jr.,HOU,70,33.1,6.7,15.2,2.6,3.5,2.2,18.1,4.2,7.1,1.2,0.4,3.3
Khem Birch,TOR,74,29.8,3.8,7.7,1.8,2.6,0.3,9.8,7.6,1.7,0.9,1.2,0.9
Khris Middleton,MIL,75,33.1,7.4,15.7,3.1,3.5,2.2,20.2,6,5.4,1.1,0.1,2.6
Killian Hayes,DET,70,29.4,4.1,10.7,1.6,1.9,0.9,10.6,3,6,1.1,0.5,3.6
Klay Thompson,GSW,45,26.8,6.7,14.6,1.3,1.6,2.8,17.5,3,1.8,0.8,0.5,1.1
Kristaps Porzingis,DAL,69,30.9,7.9,17.5,2.8,3.3,2.4,21,9.3,1.7,0.5,1.5,1.2
Kyle Anderson,MEM,75,25.1,3.9,8.4,1.8,2.4,1.2,10.9,5.1,3.2,1.1,0.7,1.1
Kyle Kuzma,WAS,71,29.1,6.4,14.2,1.1,1.5,2.1,16.1,6.1,1.9,0.6,0.6,1.7
Kyle Lowry,MIA,72,32.1,5.2,12,2.8,3.2,2.7,15.9,4.8,6.4,0.9,0.3,2.5
Kyrie Irving,BRO,42,33.1,8.9,18.1,2.5,2.8,2.7,23,3.7,5.2,1.2,0.5,2.6
LaMarcus Aldridge,BRO,55,21.6,4.5,9.1,1.8,2.2,0.7,11.5,4.5,1.5,0.4,1,0.9
LaMelo Ball,CHA,73,32.8,6.9,15.4,2.9,3.7,2.1,18.6,6.7,7,1.8,0.5,3.2
Larry Nance Jr.,POR,68,27.1,3.2,6.7,0.8,1.2,1,8,5.8,2.7,1.5,0.4,1.4
Lauri Markkanen,CLE,68,27.4,4.9,10.3,1.5,1.8,2.2,13.6,5.3,0.9,0.5,0.3,1
LeBron James,LAL,74,32.4,9.1,17.7,3.9,5.5,2.2,24.3,7.4,7.3,1.1,0.6,3.6
Lonzo Ball,CHI,70,33.1,5.4,12.8,0.9,1.2,3,14.7,4.9,5.9,1.5,0.6,2.3
Luka Doncic,DAL,75,34.1,10,20.9,5.3,7.2,3,28.3,8.2,8.8,1,0.5,4.4
Malcolm Brogdon,IND,70,34.1,7.5,16.8,2.7,3.2,2.5,20.1,5.1,5.8,0.9,0.3,2.1
Malik Beasley,MIN,71,28.5,5.7,13.1,1.5,1.8,2.8,15.7,3.5,1.9,0.6,0.2,1.3
Marcus Morris Sr.,LAC,71,26.9,4.9,10.5,1.3,1.6,2.6,13.7,4.2,1,0.6,0.3,1
Marcus Smart,BOS,70,32,4.4,10.6,2.6,3.3,1.9,13.4,3.4,5.8,1.5,0.5,1.9
Markelle Fultz,ORL,46,27.3,5.1,12,2.1,2.4,0.5,12.9,3.1,5.4,0.9,0.3,2.3
Marvin Bagley III,SAC,62,26.7,5.7,11.4,1.8,2.6,0.9,14.2,7.4,1,0.5,0.5,1.4
Mason Plumlee,CHA,68,28.1,4.1,6.6,1.9,2.9,0,10,9,3.5,0.8,0.9,1.8
Matisse Thybulle,PHI,74,24.6,2.5,5.6,0.2,0.4,0.9,6,2.2,1.2,1.7,1.3,0.6
Michael Porter Jr.,DEN,67,32.5,7.9,15.3,2,2.4,3,20.8,7.9,1.2,0.7,0.9,1.4
Mikal Bridges,PHX,78,32.8,5,9.3,1.5,1.8,1.9,13.5,4.3,2.1,1.1,0.9,0.8
Mike Conley,UTA,68,29.5,5.5,12.4,2.4,2.8,2.7,16,3.3,5.9,1.3,0.2,1.9
Miles Bridges,CHA,77,28.4,4.5,9.1,1.5,1.6,1.7,12.3,5.8,2.1,0.6,0.8,1.6
Mitchell Robinson,NYK,69,27.1,3.9,6.1,1,1.8,0,8.8,8.2,0.5,1.1,1.7,0.9
Mo Bamba,ORL,68,22.5,3.7,7.8,1.2,1.7,1,9.6,7,1,0.4,1.8,1
Monte Morris,DEN,70,26.4,4.2,8.7,1.3,1.5,1.2,10.7,2.1,3.3,0.7,0.3,0.7
Montrezl Harrell,WAS,68,25,5.4,9.2,2.8,4,0,13.7,6.7,1.2,0.8,0.8,1.2
Myles Turner,IND,72,30.6,4.3,9.1,2.2,3,1.5,12.4,6.4,1,0.9,3,1.4
Nerlens Noel,NYK,70,24.8,2.2,3.7,0.8,1.2,0,5.3,6.7,0.7,1,2,1.1
Nickeil Alexander-Walker,NOP,71,28.5,5.9,13.4,1.4,1.8,2.4,15.5,4.2,3,1.4,0.7,2
Nicolas Batum,LAC,71,25.1,2.7,5.7,0.6,0.8,1.5,7.4,4.3,2,0.9,0.6,0.7
Nicolas Claxton,BRO,67,20.8,3.2,5.1,1.1,2.3,0,7.4,5.8,1,0.8,1.5,0.7
Nikola Jokic,DEN,77,35.1,10.6,18.8,5.2,6,1.3,27.8,11,7.9,1.3,0.7,3.1
Nikola Vucevic,CHI,76,32.8,8.4,17.8,1.9,2.2,2,20.7,11.1,2.9,0.9,0.8,1.8
Norman Powell,POR,75,32.1,6,12.9,3.3,3.8,2.4,17.7,3,1.8,1,0.3,1.7
OG Anunoby,TOR,70,33.9,6.2,13.1,2.1,2.7,2.7,17.2,5.6,2.4,1.5,0.7,1.7
Oshae Brissett,IND,60,19.2,2.7,5.5,1.9,2.4,1.2,8.5,4.2,0.7,0.7,0.8,0.4
Otto Porter Jr.,GSW,69,23.1,3.7,8.6,1.4,1.6,1.5,10.3,5.8,2.1,0.6,0.1,1
Pascal Siakam,TOR,59,34.5,7.5,16.5,4.3,5.2,1.3,20.6,6.9,4.3,1.1,0.7,2.2
Patrick Williams,CHI,68,30.2,3.9,7.9,1.4,1.9,0.9,10,4.9,1.5,1,0.6,1.5
Paul George,LAC,74,34,8.9,19.2,3.8,4.3,3.5,25.1,6.8,5.4,1.1,0.4,3.4
PJ Washington,CHA,74,30.5,4.8,10.7,1.8,2.4,1.8,13.1,6.6,2.5,1.1,1.2,2
Reggie Jackson,LAC,75,30.2,5.6,12.6,1.4,1.7,2.6,15.2,4.1,5.1,0.9,0.1,1.6
Richaun Holmes,SAC,72,31.2,6.3,10,2.3,3,0,15,8.8,1.8,0.6,1.7,1.3
Ricky Rubio,CLE,70,22.5,2.4,6.3,1.6,1.9,0.9,7.4,2.8,5.5,1.3,0.1,1.4
RJ Barrett,NYK,75,34.4,6.9,15.5,3,3.9,1.8,18.6,5.9,3.1,0.7,0.3,2
Robert Covington,POR,76,32,3.5,8.2,0.7,0.9,2,9.7,6.7,1.7,1.4,1,0.9
Robert Williams,BOS,68,23.5,4.2,6,1.1,1.7,0,9.5,8,2.1,0.9,2,1.2
Royce O'Neale,UTA,75,31.4,2.5,5.6,0.6,0.7,1.5,7,6.8,2.5,0.8,0.5,1.2
Rudy Gobert,UTA,76,30.9,5.5,8.2,3.3,5.3,0,14.4,13.5,1.3,0.6,2.7,1.7
Rui Hachimura,WAS,70,31,5.5,11.6,2.2,2.9,0.8,14,5.6,1.4,0.8,0.1,1.2
Russell Westbrook,LAL,76,34.1,7.3,15.6,3.6,5,1.1,19.3,8.2,7.9,1.2,0.3,3.9
Saddiq Bey,DET,76,33.5,5.2,12.3,2.2,2.6,3.1,15.8,5.6,1.8,0.9,0.3,1.1
Scottie Barnes,TOR,74,26.9,4.5,10,0.8,1.3,0.4,10.3,4.4,3.3,1.2,0.5,2
Serge Ibaka,LAC,64,22,4.2,8.4,1,1.2,0.9,10.4,6.3,1.7,0.2,1,1
Seth Curry,PHI,70,29.2,4.6,9.8,1.2,1.4,2.2,12.7,2.4,2.7,0.8,0.1,1.1
Shai Gilgeous-Alexander,OKL,70,34.1,8.3,16.3,5.4,6.6,2,24,4.9,6,0.8,0.7,3
Spencer Dinwiddie,WAS,69,30.7,5.9,13.8,3.6,4.5,2,17.4,3.9,6.8,0.8,0.3,3
Stephen Curry,GSW,73,34,10,21.1,5.6,6.1,5,30.7,5.5,5.8,1.2,0.1,3.4
T.J. McConnell,IND,76,23.7,3.7,6.5,0.5,0.6,0.2,7.8,3.4,6,1.7,0.3,1.8
T.J. Warren,IND,40,29.2,6.8,13,1.9,2.4,1.1,16.7,3.4,1.3,0.5,0.4,1.1
Talen Horton-Tucker,LAL,76,22.2,4.2,8.9,1.8,2.4,0.7,10.8,3.1,3.3,1.2,0.4,1.9
Terance Mann,LAC,76,25.7,4.2,8.6,1.9,2.2,1,11.2,5.5,2.5,0.6,0.3,0.9
Terrence Ross,ORL,68,28.4,5.3,12.9,2.5,2.9,1.8,15.1,3.4,2.3,1,0.5,1.6
Terry Rozier,CHA,75,34.1,7.1,16.2,2.4,2.9,3,19.6,4.3,4.1,1.2,0.4,1.9
Thaddeus Young,SAS,70,22.1,4.9,8.9,0.9,1.6,0.2,11,5.6,3.9,1,0.6,1.8
Thomas Bryant,WAS,38,25.2,5.3,8.2,1.4,2.2,0.8,12.9,5.5,1.4,0.4,0.7,1
Tim Hardaway Jr.,DAL,77,30.2,6.2,13.8,2.1,2.7,3.2,17.7,3.5,1.9,0.4,0.2,1
Tobias Harris,PHI,75,32.5,7.6,14.9,2.9,3.3,1.3,19.4,6.8,3.5,0.9,0.8,1.7
Trae Young,ATL,78,33.2,7.9,17.8,6.6,7.4,2.4,24.7,3.8,9.5,0.8,0.2,4
Trey Murphy III,NOP,72,25.4,3.6,8.3,1,1.1,2,10.2,3.4,1.3,0.9,0.5,1
Tyler Herro,MIA,70,27,5.5,12.5,1.7,2.1,1.9,14.7,4.8,3.3,0.6,0.3,1.8
Tyrese Haliburton,SAC,72,32.1,6.1,13,1,1.1,2.5,15.8,3.2,5.6,1.4,0.5,1.7
Tyrese Maxey,PHI,72,26.8,5.5,12,1.7,2,0.8,13.6,2.9,4.5,0.7,0.3,1.2
Victor Oladipo,MIA,35,26.5,5.5,13.1,2.5,3.3,1.9,15.5,3.9,3.7,1.1,0.3,2
Wendell Carter Jr.,ORL,67,28.8,4.7,9.3,2.6,3.6,0.3,12.4,9,2.1,0.7,0.9,1.5
Will Barton,DEN,70,32.5,5.8,13.4,1.8,2.3,1.9,15.3,4.2,3.3,0.9,0.4,1.8
Zach LaVine,CHI,72,34,9.3,19,4,4.8,3.3,26,4.6,4.1,0.8,0.5,3.3
Zion Williamson,NOP,60,31.5,10.2,17,6,8.6,0.2,26.6,7.1,4,1,0.7,2.9
